"","cutoff","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1",2,0.396067,0.14167,0.09337,0.070923,0.056341,0.045918,0.038239,0.032476,0.027533,0.023715,0.020138,0.016695,0.013217,0.010637,0.007731,5330
"2",3,0.279091,0.128004,0.093729,0.076415,0.064483,0.055939,0.049607,0.044204,0.039122,0.035705,0.031934,0.027975,0.023889,0.020359,0.016236,13308
"3",4,0.181408,0.104479,0.084247,0.073428,0.066739,0.060234,0.056705,0.053173,0.050975,0.047787,0.044807,0.041865,0.038724,0.03529,0.030646,29493
"4",5,0.108447,0.076603,0.067517,0.063465,0.061288,0.058894,0.057688,0.05763,0.057177,0.057388,0.057177,0.055852,0.054981,0.054953,0.051504,59436
"5",6,0.059122,0.050326,0.04856,0.049122,0.050505,0.051199,0.052979,0.055175,0.057695,0.060865,0.064537,0.066989,0.070019,0.076252,0.077601,109054
"6",7,0.029292,0.029646,0.031179,0.033998,0.037047,0.039829,0.043133,0.046958,0.051907,0.0582,0.064831,0.07198,0.079996,0.094706,0.104749,182549
"7",8,0.013162,0.0156,0.018047,0.020991,0.024118,0.027507,0.031549,0.035796,0.041735,0.049183,0.058549,0.068746,0.081893,0.106185,0.127507,279432
"8",9,0.005248,0.007545,0.009366,0.011402,0.014275,0.016803,0.020249,0.024665,0.029905,0.037419,0.047221,0.058646,0.074951,0.106969,0.14006,395276
"9",10,0.001956,0.003059,0.004413,0.005597,0.007301,0.009249,0.011769,0.015002,0.019255,0.025137,0.034117,0.045326,0.061775,0.097615,0.138304,520125
"10",11,0.000619,0.001221,0.001743,0.00255,0.003358,0.004565,0.006035,0.00821,0.010999,0.015225,0.021858,0.031115,0.045911,0.079968,0.124963,641660
"11",12,0.000186,0.000406,0.000635,0.001005,0.001437,0.002061,0.002705,0.003887,0.005663,0.008185,0.012823,0.019271,0.030277,0.060076,0.101903,749480
"12",13,4.6e-05,0.000113,0.000232,0.000328,0.000545,0.000806,0.001145,0.001681,0.002556,0.003921,0.006712,0.010788,0.018331,0.040638,0.076362,835796
"13",14,6e-06,3e-05,6.2e-05,0.000105,0.000166,0.000284,0.000433,0.000664,0.00109,0.001732,0.003081,0.005332,0.009938,0.025468,0.052144,899465
"14",15,1e-06,6e-06,1.5e-05,3.7e-05,4.5e-05,7.6e-05,0.00014,0.000247,0.00036,0.000671,0.001309,0.002455,0.004982,0.014285,0.032806,942565
"15",16,0,1e-06,3e-06,8e-06,1.1e-05,2.7e-05,4e-05,6.4e-05,0.000123,0.000231,0.000508,0.001026,0.002098,0.007594,0.019058,969208
"16",17,0,1e-06,0,0,2e-06,6e-06,1.2e-05,1.8e-05,3.3e-05,6e-05,0.000182,4e-04,0.000864,0.003629,0.010214,984579
"17",18,0,0,0,1e-06,0,2e-06,4e-06,7e-06,6e-06,1.9e-05,5e-05,0.000122,0.000334,0.001592,0.005178,992685
"18",19,0,0,0,0,0,1e-06,0,1e-06,7e-06,3e-06,1.1e-05,3.9e-05,9.3e-05,0.00069,0.002401,996754
